事業所加算一覧,区分_選択肢,フラグ,事業所REF,適用開始_年月日,適用終了_年月日,加算適用示唆_プロンプト,加算種別,加算内容・適用条件,必要書類(エビデンス),使用事業所
ソーシャルワーカー配置加算,○,Y,児童入所施設,06/01/2026,,,1. 事業所の体制・評価に関する加算,請求する　→　○,ソーシャルワーカー雇用契約書、配置証明、業務記録,愛の集い
看護師配置加算,"1 , 2",Y,児童入所施設,06/01/2026,,,1. 事業所の体制・評価に関する加算,"看護師配置加算Ⅰ　→　1
看護師配置加算Ⅱ　→　2",看護師免許の写し、配置証明,愛の集い
看護職員配置加算２,○,Y,児童入所施設,06/01/2026,,,1. 事業所の体制・評価に関する加算,請求する　→　○,看護職員配置証明書,愛の集い
栄養マネジメント加算,○,Y,児童入所施設,06/01/2026,,,1. 事業所の体制・評価に関する加算,請求する　→　○,栄養ケア計画書、栄養スクリーニング記録,愛の集い
公認心理師加配加算,○,Y,児童入所施設,06/01/2026,,令和6年新設。心理面の専門支援体制を担保,1. 事業所の体制・評価に関する加算,請求する　→　○,公認心理師登録証、雇用契約書,愛の集い
児童指導員等加配加算,"1 , 2",Y,児童入所施設,06/01/2026,,,1. 事業所の体制・評価に関する加算,"専門職加配　→　1
児童指導員等加配　→　2",加配職員の資格証、勤務記録,愛の集い
福祉専門職員配置等加算,"1 , 2 , 3",Y,児童入所施設,06/01/2026,,,1. 事業所の体制・評価に関する加算,"加算Ⅰ　→　1
加算Ⅱ　→　2
加算Ⅲ　→　3",社会福祉士等の資格証、勤続年数証明,愛の集い
栄養士配置加算,"1 , 2",Y,児童入所施設,06/01/2026,,,1. 事業所の体制・評価に関する加算,"栄養士配置加算Ⅰ　→　1
同Ⅱ　→　2",栄養士免許証、雇用契約書,愛の集い
小規模グループケア加算,"1 , 2 , 3 , 4",Y,児童入所施設,06/01/2026,,,1. 事業所の体制・評価に関する加算,"加算Ⅰ（4〜6人）　→　1
同Ⅱ（7〜8人）　→　2
同Ⅲ（9〜10人）　→　3
サテライト型　→　4",居住区分別人員配置記録、サテライト型は別棟証明,愛の集い
感染対策向上加算,"1 , 2",Y,児童入所施設,06/01/2026,,,1. 事業所の体制・評価に関する加算,"加算Ⅰ　→　1
同Ⅱ　→　2",感染症マニュアル、研修実績、訓練記録,愛の集い
福祉介護職員等処遇改善加算Ⅰイ,○,Y,児童入所施設,06/01/2026,,令和8年6月改定対応。Ⅰイは要件確認必須,4. 介護人材確保・処遇改善,処遇改善加算Ⅰイ　→　○,処遇改善計画書、賃金台帳,愛の集い
福祉介護職員等処遇改善加算Ⅰロ,○,Y,児童入所施設,06/01/2026,,令和8年6月改定対応。Ⅰロは要件確認必須,4. 介護人材確保・処遇改善,処遇改善加算Ⅰロ　→　○,処遇改善計画書、賃金台帳,愛の集い
福祉介護職員等処遇改善加算Ⅱイ,○,Y,児童入所施設,06/01/2026,,令和8年6月改定対応。Ⅱイは要件確認必須,4. 介護人材確保・処遇改善,処遇改善加算Ⅱイ　→　○,処遇改善計画書、賃金台帳,愛の集い
福祉介護職員等処遇改善加算Ⅱロ,○,Y,児童入所施設,06/01/2026,,令和8年6月改定対応。Ⅱロは要件確認必須,4. 介護人材確保・処遇改善,処遇改善加算Ⅱロ　→　○,処遇改善計画書、賃金台帳,愛の集い
福祉介護職員等処遇改善加算Ⅲ,○,Y,児童入所施設,06/01/2026,,令和8年6月改定対応。Ⅲは要件確認必須,4. 介護人材確保・処遇改善,処遇改善加算Ⅲ　→　○,処遇改善計画書、賃金台帳,愛の集い
福祉介護職員等処遇改善加算Ⅳ,○,Y,児童入所施設,06/01/2026,,令和8年6月改定対応。Ⅳは要件確認必須,4. 介護人材確保・処遇改善,処遇改善加算Ⅳ　→　○,処遇改善計画書、賃金台帳,愛の集い
業務継続計画未策定減算,○,Y,児童入所施設,06/01/2026,,BCP未策定で△1%減算,2. 運営義務（未実施による減算）,請求する　→　○,感染症BCP、災害BCP、訓練の実施記録,愛の集い
身体拘束廃止未実施減算,○,Y,児童入所施設,06/01/2026,,令和6年から△10%に強化,2. 運営義務（未実施による減算）,請求する　→　○,身体拘束適正化指針、委員会議事録,愛の集い
虐待防止措置未実施減算,○,Y,児童入所施設,06/01/2026,,,2. 運営義務（未実施による減算）,請求する　→　○,虐待防止指針、委員会議事録、職員研修記録,愛の集い
情報公表未報告減算,○,Y,児童入所施設,06/01/2026,,情報公表未報告で△10%減算,2. 運営義務（未実施による減算）,請求する　→　○,情報公表システム承認画面,愛の集い
定員超過利用減算,○,Y,児童入所施設,06/01/2026,,,2. 運営義務（未実施による減算）,定員超過　→　○,月別利用実績,愛の集い
人員基準欠如減算,"1 , 2",Y,児童入所施設,06/01/2026,,,2. 運営義務（未実施による減算）,"軽度欠如（△30%）　→　1
重度欠如（△50%）　→　2",人員配置体制届、勤務シフト,愛の集い
設備基準不適合減算,○,Y,児童入所施設,06/01/2026,,,2. 運営義務（未実施による減算）,設備基準不適合　→　○,設備調査記録,愛の集い
請求書役職,,Y,児童入所施設,06/01/2026,,,,,,愛の集い
請求書氏名,,Y,児童入所施設,06/01/2026,,,,,,愛の集い
利用者請求書備考,,Y,児童入所施設,06/01/2026,,,,,,愛の集い
実費1,,Y,児童入所施設,06/01/2026,,,,,,愛の集い
実費2,,Y,児童入所施設,06/01/2026,,,,,,愛の集い
実費3,,Y,児童入所施設,06/01/2026,,,,,,愛の集い
実費4,,Y,児童入所施設,06/01/2026,,,,,,愛の集い
実費5,,Y,児童入所施設,06/01/2026,,,,,,愛の集い
