利用者加算一覧,区分_選択肢,フラグ,事業所REF,適用開始_年月日,適用終了_年月日,加算適用示唆_プロンプト,加算種別,加算内容・適用条件,必要書類(エビデンス),反映箇所,反映条件,使用事業所
医療的ケア対応支援加算,○,Y,短期入所,06/01/2026,,令和6年新設,2. 医療・施設等との連携に関する加算,医療的ケア児・者受入　→　○,医療的ケア判定スコア、看護師配置,1つ右のセル,同月全件反映_カウント,愛の集い
重度障害児者対応支援加算,○,Y,短期入所,06/01/2026,,令和6年新設,5. 事業所の体制に対する加算（加算届けが必要なもの）,区分5/6 or 障害児区分3 ≧50%　→　○,障害支援区分認定、入所者割合表,1つ右のセル,同月全件反映_カウント,愛の集い
日中活動支援加算,○,Y,短期入所,06/01/2026,,,5. 事業所の体制に対する加算（加算届けが必要なもの）,日中サービス提供　→　○,日中支援計画、活動実績,1つ右のセル,同月全件反映_カウント,愛の集い
送迎加算,○,Y,短期入所,06/01/2026,,,1. 基本・初期導入に関する加算,片道送迎　→　○,送迎運行記録、車両管理簿,1つ右のセル,同月全件反映_カウント,愛の集い
緊急短期入所受入加算,"1 , 2",Y,短期入所,06/01/2026,,令和6年見直し対象,6. 集中支援・その他の加算,"加算Ⅰ　→　1
加算Ⅱ　→　2",緊急受入記録、家族連絡記録,1つ右のセル,同月全件反映_カウント,愛の集い
重度障害者支援加算,"1 , 2 , 3 , 4",Y,短期入所,06/01/2026,,,5. 事業所の体制に対する加算（加算届けが必要なもの）,"加算Ⅰ受入　→　1
加算Ⅰ初期　→　2
加算Ⅱ受入　→　3
加算Ⅱ初期　→　4",重度障害者支援計画、研修修了証,1つ右のセル,同月全件反映_カウント,愛の集い
特別重度支援加算,"1 , 2 , 3",Y,短期入所,06/01/2026,,,5. 事業所の体制に対する加算（加算届けが必要なもの）,"加算Ⅰ　→　1
加算Ⅱ　→　2
加算Ⅲ　→　3",特別重度判定資料、医師意見書,1つ右のセル,同月全件反映_カウント,愛の集い
短期利用加算,○,Y,短期入所,06/01/2026,,,1. 基本・初期導入に関する加算,30日以内 / 年30日限度　→　○,利用期間記録,1つ右のセル,同月全件反映_カウント,愛の集い
地域生活支援拠点加算,"1 , 2",Y,短期入所,06/01/2026,,,6. 集中支援・その他の加算,"初日加算　→　1
連携配置　→　2",拠点登録通知、連携記録,1つ右のセル,同月全件反映_カウント,愛の集い
利用者負担上限額管理加算,○,Y,短期入所,06/01/2026,,,6. 集中支援・その他の加算,月150単位/月　→　○,上限額管理結果票,1つ右のセル,同月最新日のみ反映,愛の集い
定員超過特例加算,○,Y,短期入所,06/01/2026,,,5. 事業所の体制に対する加算（加算届けが必要なもの）,特例利用（10日限度）　→　○,市町村の特例承認書,1つ右のセル,同月全件反映_カウント,愛の集い
集中的支援加算,"1 , 2",Y,短期入所,06/01/2026,,令和6年新設,6. 集中支援・その他の加算,"加算Ⅰ（月4回 3ヶ月限度）　→　1
加算Ⅱ（日額 3ヶ月限度）　→　2",集中支援計画書、行動評価,1つ右のセル,同月全件反映_カウント,愛の集い
医療型短期入所受入前支援加算,"1 , 2",Y,短期入所,06/01/2026,,令和6年新設・医療型のみ,2. 医療・施設等との連携に関する加算,"加算Ⅰ　→　1
加算Ⅱ　→　2",受入前事前訪問記録、医療機関連携記録,1つ右のセル,同月最新日のみ反映,愛の集い
